Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 0.000269, 4.750000, 0.000309, 0.012346, 0.246914, 4.938272, 0.000000, 
50, 0.001503, 4.750000, 0.001543, 0.024691, 0.246914, -0.000000, 0.000000, 
50, 0.004281, 4.750000, 0.004321, 0.055556, 0.617284, 7.407407, 0.000000, 
50, 0.009219, 4.750000, 0.009259, 0.098765, 0.864198, 4.938272, 0.000000, 
50, 0.016935, 4.750000, 0.016975, 0.154321, 1.111111, 4.938272, 0.000000, 
50, 0.028046, 4.750000, 0.028086, 0.222222, 1.358025, 4.938272, 0.000000, 
50, 0.043170, 4.750000, 0.043210, 0.302469, 1.604938, 4.938272, 0.000000, 
50, 0.062923, 4.750000, 0.062963, 0.395062, 1.851852, 4.938272, 0.000000, 
50, 0.087923, 4.750000, 0.087963, 0.500000, 2.098765, 4.938272, 0.000000, 
50, 0.118787, 4.750000, 0.118827, 0.617284, 2.345679, 4.938272, 0.000000, 
50, 0.156133, 4.750000, 0.156173, 0.746914, 2.592593, 4.938272, 0.000000, 
50, 0.200577, 4.750000, 0.200617, 0.888889, 2.839506, 4.938272, 0.000000, 
50, 0.252429, 4.750000, 0.252469, 1.037037, 2.962963, 2.469136, 0.000000, 
50, 0.311688, 4.750000, 0.311728, 1.185185, 2.962963, 0.000000, 0.000000, 
50, 0.378355, 4.750000, 0.378395, 1.333333, 2.962963, -0.000000, 0.000000, 
50, 0.452429, 4.750000, 0.452469, 1.481481, 2.962963, 0.000000, 0.000000, 
50, 0.533911, 4.750000, 0.533951, 1.629630, 2.962963, -0.000000, 0.000000, 
50, 0.622800, 4.750000, 0.622840, 1.777778, 2.962963, -0.000000, 0.000000, 
50, 0.719096, 4.750000, 0.719136, 1.925926, 2.962963, 0.000000, 0.000000, 
50, 0.822800, 4.750000, 0.822840, 2.074074, 2.962963, 0.000000, 0.000000, 
50, 0.933911, 4.750000, 0.933951, 2.222222, 2.962963, -0.000000, 0.000000, 
50, 1.052429, 4.750000, 1.052469, 2.370370, 2.962963, 0.000000, 0.000000, 
50, 1.178355, 4.750000, 1.178395, 2.518519, 2.962963, -0.000000, 0.000000, 
50, 1.311688, 4.750000, 1.311728, 2.666667, 2.962963, -0.000000, 0.000000, 
50, 1.452429, 4.750000, 1.452469, 2.814815, 2.962963, 0.000000, 0.000000, 
50, 1.600577, 4.750000, 1.600617, 2.962963, 2.962963, -0.000000, 0.000000, 
50, 1.756133, 4.750000, 1.756173, 3.111111, 2.962963, 0.000000, 0.000000, 
50, 1.918787, 4.750000, 1.918827, 3.253086, 2.839506, -2.469136, 0.000000, 
50, 2.087923, 4.750000, 2.087963, 3.382716, 2.592593, -4.938272, 0.000000, 
50, 2.262923, 4.750000, 2.262963, 3.500000, 2.345679, -4.938272, 0.000000, 
50, 2.443170, 4.750000, 2.443210, 3.604938, 2.098765, -4.938272, 0.000000, 
50, 2.628046, 4.750000, 2.628086, 3.697531, 1.851852, -4.938272, 0.000000, 
50, 2.816935, 4.750000, 2.816975, 3.777778, 1.604938, -4.938272, 0.000000, 
50, 3.009219, 4.750000, 3.009259, 3.845679, 1.358025, -4.938272, 0.000000, 
50, 3.204281, 4.750000, 3.204321, 3.901235, 1.111111, -4.938272, 0.000000, 
50, 3.401503, 4.750000, 3.401543, 3.944444, 0.864198, -4.938272, 0.000000, 
50, 3.600269, 4.750000, 3.600309, 3.975309, 0.617284, -4.938272, 0.000000, 
50, 3.799960, 4.750000, 3.800000, 3.993827, 0.370370, -4.938272, 0.000000, 
50, 3.999960, 4.750000, 4.000000, 4.000000, 0.123457, -4.938272, 0.000000, 
50, 4.197050, 4.750356, 4.197091, 3.941811, -1.163778, -25.744689, 0.003712, 
50, 4.393798, 4.751502, 4.393842, 3.935026, -0.135710, 20.561350, 0.008044, 
50, 4.590062, 4.753557, 4.590117, 3.925495, -0.190618, -1.098166, 0.013011, 
50, 4.785819, 4.756644, 4.785898, 3.915631, -0.197281, -0.133255, 0.018635, 
50, 4.981043, 4.760886, 4.981167, 3.905385, -0.204908, -0.152532, 0.024942, 
50, 5.175699, 4.766414, 5.175903, 3.894707, -0.213560, -0.173034, 0.031961, 
50, 5.369752, 4.773360, 5.370080, 3.883542, -0.223304, -0.194888, 0.039724, 
50, 5.563157, 4.781861, 5.563671, 3.871831, -0.234215, -0.218225, 0.048268, 
50, 5.755863, 4.792060, 5.756647, 3.859513, -0.246373, -0.243153, 0.057633, 
50, 5.947811, 4.804106, 5.948973, 3.846520, -0.259861, -0.269757, 0.067864, 
50, 6.138935, 4.818151, 6.140612, 3.832781, -0.274765, -0.298083, 0.079010, 
50, 6.329157, 4.834355, 6.331523, 3.818223, -0.291171, -0.328115, 0.091127, 
50, 6.518390, 4.852885, 6.521661, 3.802765, -0.309159, -0.359760, 0.104275, 
50, 6.706535, 4.873912, 6.710978, 3.786325, -0.328798, -0.392794, 0.118517, 
50, 6.893480, 4.897614, 6.899419, 3.768818, -0.350140, -0.426829, 0.133927, 
50, 7.079097, 4.924177, 7.086927, 3.750158, -0.373203, -0.461254, 0.150580, 
50, 7.263244, 4.953790, 7.273439, 3.730260, -0.397960, -0.495153, 0.168560, 
50, 7.445762, 4.986649, 7.458892, 3.709044, -0.424320, -0.527205, 0.187953, 
50, 7.626473, 5.022954, 7.643214, 3.686439, -0.452100, -0.555594, 0.208852, 
50, 7.805180, 5.062908, 7.826333, 3.662389, -0.480993, -0.577854, 0.231355, 
50, 7.981668, 5.106715, 8.008176, 3.636863, -0.510531, -0.590768, 0.255558, 
50, 8.155699, 5.154577, 8.188669, 3.609861, -0.540042, -0.590222, 0.281560, 
50, 8.327018, 5.206697, 8.367741, 3.581431, -0.568600, -0.571144, 0.309457, 
50, 8.495351, 5.263268, 8.545325, 3.551682, -0.594975, -0.527519, 0.339336, 
50, 8.660408, 5.324475, 8.721365, 3.520802, -0.617603, -0.452560, 0.371273, 
50, 8.821888, 5.390493, 8.895819, 3.489074, -0.634561, -0.339147, 0.405324, 
50, 8.979483, 5.461479, 9.068663, 3.456894, -0.643590, -0.180591, 0.441518, 
50, 9.132886, 5.537573, 9.239903, 3.424785, -0.642182, 0.028173, 0.479852, 
50, 9.281796, 5.618897, 9.409572, 3.393398, -0.627732, 0.288987, 0.520276, 
50, 9.425930, 5.705549, 9.577748, 3.363508, -0.597802, 0.598616, 0.562692, 
50, 9.565025, 5.797606, 9.744547, 3.335986, -0.550454, 0.946948, 0.606942, 
50, 9.698852, 5.895124, 9.910135, 3.311753, -0.484660, 1.315888, 0.652806, 
50, 9.827213, 5.998138, 10.074721, 3.291718, -0.400682, 1.679555, 0.700004, 
50, 9.949949, 6.106663, 10.238556, 3.276700, -0.300360, 2.006435, 0.748203, 
50, 10.066940, 6.220689, 10.401923, 3.267341, -0.187182, 2.263572, 0.797025, 
50, 10.178095, 6.340186, 10.565125, 3.264038, -0.066072, 2.422196, 0.846067, 
50, 10.283357, 6.465091, 10.728469, 3.266893, 0.057100, 2.463439, 0.894920, 
50, 10.382695, 6.595312, 10.892255, 3.275704, 0.176220, 2.382405, 0.943185, 
50, 10.476099, 6.730722, 11.056754, 3.289988, 0.285683, 2.189254, 0.990499, 
50, 10.563479, 6.870979, 11.222003, 3.304981, 0.299864, 0.283628, 1.036488, 
50, 10.644673, 7.015454, 11.387731, 3.314551, 0.191399, -2.169319, 1.080777, 
50, 10.719579, 7.163391, 11.553550, 3.316385, 0.036673, -3.094519, 1.123058, 
50, 10.788182, 7.313958, 11.719009, 3.309194, -0.143820, -3.609861, 1.163111, 
50, 10.850554, 7.466270, 11.883598, 3.291770, -0.348479, -4.093170, 1.200795, 
50, 10.906836, 7.619408, 12.046751, 3.263057, -0.574250, -4.515428, 1.236039, 
50, 10.957240, 7.772430, 12.207860, 3.222190, -0.817340, -4.861787, 1.268830, 
50, 11.002030, 7.924392, 12.366285, 3.168501, -1.073794, -5.129076, 1.299201, 
50, 11.041515, 8.074356, 12.521361, 3.101505, -1.339904, -5.322210, 1.327214, 
50, 11.076036, 8.221402, 12.672405, 3.020883, -1.612440, -5.450721, 1.352955, 
50, 11.105959, 8.364632, 12.818727, 2.926447, -1.888737, -5.525936, 1.376522, 
50, 11.131661, 8.503174, 12.959633, 2.818112, -2.166694, -5.559146, 1.398018, 
50, 11.153560, 8.636401, 13.094648, 2.700298, -2.356284, -3.791787, 1.417578, 
50, 11.172095, 8.763999, 13.223585, 2.578744, -2.431069, -1.495714, 1.435366, 
50, 11.187676, 8.885750, 13.346328, 2.454867, -2.477546, -0.929542, 1.451536, 
50, 11.200675, 9.001468, 13.462774, 2.328917, -2.518993, -0.828928, 1.466226, 
50, 11.211428, 9.110997, 13.572830, 2.201127, -2.555802, -0.736183, 1.479560, 
50, 11.220238, 9.214207, 13.676416, 2.071708, -2.588390, -0.651757, 1.491646, 
50, 11.227380, 9.310987, 13.773458, 1.940849, -2.617165, -0.575505, 1.502578, 
50, 11.233097, 9.401242, 13.863894, 1.808724, -2.642513, -0.506967, 1.512443, 
50, 11.237610, 9.484895, 13.947669, 1.675484, -2.664788, -0.445501, 1.521315, 
50, 11.241114, 9.561878, 14.024732, 1.541269, -2.684309, -0.390413, 1.529257, 
50, 11.243785, 9.632138, 14.095042, 1.406201, -2.701358, -0.340982, 1.536327, 
50, 11.245775, 9.695626, 14.158562, 1.270392, -2.716183, -0.296500, 1.542575, 
50, 11.247219, 9.752305, 14.215259, 1.133942, -2.729000, -0.256341, 1.548043, 
50, 11.248235, 9.802141, 14.265106, 0.996942, -2.739994, -0.219883, 1.552768, 
50, 11.248923, 9.845110, 14.308080, 0.859476, -2.749323, -0.186584, 1.556781, 
50, 11.249371, 9.881417, 14.344390, 0.726196, -2.665605, 1.674369, 1.560129, 
50, 11.249652, 9.911564, 14.374538, 0.602963, -2.464658, 4.018939, 1.562879, 
50, 11.249819, 9.936116, 14.399091, 0.491061, -2.238034, 4.532475, 1.565099, 
50, 11.249913, 9.955644, 14.418619, 0.390559, -2.010044, 4.559811, 1.566853, 
50, 11.249962, 9.970719, 14.433694, 0.301510, -1.780982, 4.581243, 1.568199, 
50, 11.249986, 9.981917, 14.444892, 0.223955, -1.551097, 4.597703, 1.569195, 
50, 11.249995, 9.989813, 14.452788, 0.157925, -1.320597, 4.609983, 1.569896, 
50, 11.249999, 9.994985, 14.457960, 0.103442, -1.089658, 4.618796, 1.570353, 
50, 11.250000, 9.998011, 14.460986, 0.060521, -0.858420, 4.624760, 1.570621, 
50, 11.250000, 9.999470, 14.462445, 0.029171, -0.626995, 4.628484, 1.570750, 
50, 11.250000, 9.999940, 14.462915, 0.009398, -0.395470, 4.630501, 1.570791, 
50, 11.250000, 10.000000, 14.462975, 0.001203, -0.163902, 4.631363, 1.570796, 
50, 11.250000, 10.000000, 14.462975, 0.000000, -0.024057, 2.796909, 1.570796, 
