Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 0.000269, 3.250000, 0.000309, 0.012346, 0.246914, 4.938272, 0.000000, 
50, 0.001503, 3.250000, 0.001543, 0.024691, 0.246914, -0.000000, 0.000000, 
50, 0.004281, 3.250000, 0.004321, 0.055556, 0.617284, 7.407407, 0.000000, 
50, 0.009219, 3.250000, 0.009259, 0.098765, 0.864198, 4.938272, 0.000000, 
50, 0.016935, 3.250000, 0.016975, 0.154321, 1.111111, 4.938272, 0.000000, 
50, 0.028046, 3.250000, 0.028086, 0.222222, 1.358025, 4.938272, 0.000000, 
50, 0.043170, 3.250000, 0.043210, 0.302469, 1.604938, 4.938272, 0.000000, 
50, 0.062923, 3.250000, 0.062963, 0.395062, 1.851852, 4.938272, 0.000000, 
50, 0.087923, 3.250000, 0.087963, 0.500000, 2.098765, 4.938272, 0.000000, 
50, 0.118787, 3.250000, 0.118827, 0.617284, 2.345679, 4.938272, 0.000000, 
50, 0.156133, 3.250000, 0.156173, 0.746914, 2.592593, 4.938272, 0.000000, 
50, 0.200577, 3.250000, 0.200617, 0.888889, 2.839506, 4.938272, 0.000000, 
50, 0.252429, 3.250000, 0.252469, 1.037037, 2.962963, 2.469136, 0.000000, 
50, 0.311688, 3.250000, 0.311728, 1.185185, 2.962963, 0.000000, 0.000000, 
50, 0.378355, 3.250000, 0.378395, 1.333333, 2.962963, -0.000000, 0.000000, 
50, 0.452429, 3.250000, 0.452469, 1.481481, 2.962963, 0.000000, 0.000000, 
50, 0.533911, 3.250000, 0.533951, 1.629630, 2.962963, -0.000000, 0.000000, 
50, 0.622800, 3.250000, 0.622840, 1.777778, 2.962963, -0.000000, 0.000000, 
50, 0.719096, 3.250000, 0.719136, 1.925926, 2.962963, 0.000000, 0.000000, 
50, 0.822800, 3.250000, 0.822840, 2.074074, 2.962963, 0.000000, 0.000000, 
50, 0.933911, 3.250000, 0.933951, 2.222222, 2.962963, -0.000000, 0.000000, 
50, 1.052429, 3.250000, 1.052469, 2.370370, 2.962963, 0.000000, 0.000000, 
50, 1.178355, 3.250000, 1.178395, 2.518519, 2.962963, -0.000000, 0.000000, 
50, 1.311688, 3.250000, 1.311728, 2.666667, 2.962963, -0.000000, 0.000000, 
50, 1.452429, 3.250000, 1.452469, 2.814815, 2.962963, 0.000000, 0.000000, 
50, 1.600577, 3.250000, 1.600617, 2.962963, 2.962963, -0.000000, 0.000000, 
50, 1.756133, 3.250000, 1.756173, 3.111111, 2.962963, 0.000000, 0.000000, 
50, 1.918787, 3.250000, 1.918827, 3.253086, 2.839506, -2.469136, 0.000000, 
